Episode Number,Reward 0,Reward 1,Reward 2,Reward 3,Reward 4,Reward 5,Reward 6,Reward 7,Reward 8,Reward 9
174,39.1,49.8,14.0,17.2,47.5,36.2,49.0,38.8,27.2,17.8
175,34.4,39.0,13.3,24.7,34.1,37.4,54.5,26.4,35.0,18.7
176,34.7,44.0,13.1,32.2,31.5,28.2,36.5,37.6,25.6,22.1
177,24.9,30.6,13.3,33.0,42.1,29.9,35.6,45.3,23.9,26.2
178,27.2,42.6,13.4,36.0,42.9,25.8,15.7,54.8,20.7,26.2
179,25.7,47.3,12.6,36.8,30.1,28.8,16.3,95.7,19.0,23.5
180,22.3,33.9,13.1,31.9,17.9,34.1,14.2,128.3,21.1,19.8
181,33.5,34.9,11.5,34.6,20.4,26.9,17.0,103.9,21.5,23.1
182,31.3,28.1,12.5,39.6,39.3,29.2,14.6,125.9,23.3,20.4
183,26.3,52.0,12.5,43.7,43.1,32.9,15.9,105.5,20.4,23.5
184,21.9,36.7,12.4,44.0,62.3,28.9,33.7,87.6,19.2,18.9
185,26.3,48.4,12.6,32.6,45.2,37.4,35.1,96.4,22.2,21.5
186,31.9,52.6,13.2,28.2,31.5,31.6,21.2,96.7,25.5,23.2
187,27.5,54.0,12.2,26.4,42.4,36.3,24.8,80.1,29.5,20.4
188,23.7,46.1,12.9,21.2,46.0,34.9,24.3,84.7,26.0,22.3
189,39.2,45.5,11.9,31.4,51.3,36.2,33.5,96.8,26.5,21.9
190,28.1,45.1,11.6,36.5,66.5,29.4,44.5,89.8,25.2,25.3
191,24.3,49.3,11.2,30.1,76.5,35.6,30.7,82.4,22.1,31.9
192,23.7,50.9,10.8,27.5,19.5,28.9,49.1,67.0,22.7,27.7
193,41.5,47.0,9.9,24.2,18.6,34.1,34.0,37.7,29.5,21.0
194,50.6,47.3,10.2,30.0,19.1,36.8,48.8,38.2,36.1,19.7
195,20.1,37.0,9.9,28.6,18.2,35.8,29.7,32.7,46.1,19.8
196,34.9,43.4,9.3,25.5,20.9,42.1,33.1,29.2,33.5,19.1
197,33.4,46.5,9.1,22.7,91.8,39.4,29.1,30.4,26.1,21.7
198,31.6,42.4,9.0,21.7,33.2,33.9,19.7,28.3,24.8,24.7
199,29.9,44.6,9.7,31.2,17.1,34.8,18.1,30.7,22.1,22.1
200,33.5,43.3,9.6,35.9,16.3,36.7,17.4,23.7,20.2,20.4
201,27.4,42.2,9.4,31.6,17.1,38.9,17.4,20.3,21.8,18.7
202,30.5,42.3,9.9,43.2,19.9,33.2,21.0,30.3,27.7,18.8
203,61.2,42.7,9.9,32.7,38.0,37.2,20.4,38.9,26.2,19.5
204,37.5,43.9,10.7,37.6,20.4,29.6,20.0,29.9,25.6,21.3
205,28.1,48.1,10.3,26.1,21.4,32.5,17.7,48.7,22.9,17.6
206,30.1,52.9,10.4,27.4,30.9,30.2,16.6,27.6,30.3,20.8
207,27.4,48.1,11.0,30.5,30.4,33.4,18.1,28.6,26.3,19.8
208,32.2,46.9,10.7,44.4,23.9,31.2,19.1,16.0,22.9,19.3
209,35.5,45.7,10.5,41.2,21.6,33.8,17.8,12.0,28.2,20.7
210,24.2,53.0,10.5,35.5,22.5,39.2,19.2,9.5,27.8,22.6
211,25.8,53.4,10.8,22.3,33.2,43.2,35.5,10.3,22.5,23.3
212,27.3,44.1,10.9,16.7,35.7,38.4,18.9,9.0,21.3,23.6
213,20.3,46.6,10.6,15.9,53.2,37.2,16.1,9.1,25.4,22.8
214,23.5,51.2,10.4,16.8,52.4,43.7,19.0,9.1,24.4,22.8
215,28.3,45.5,11.1,23.2,33.7,38.9,17.1,9.4,23.4,20.9
216,28.1,42.2,10.5,31.3,18.3,38.0,18.6,9.5,21.4,20.3
217,31.2,45.8,10.5,47.1,17.3,30.3,40.5,9.0,20.1,19.0
218,29.2,44.6,11.1,37.7,21.7,25.5,23.7,9.3,20.3,19.1
219,19.5,51.5,11.7,37.6,22.1,25.2,51.0,9.1,21.5,20.7
220,14.3,50.8,11.3,25.9,26.3,30.4,44.8,9.1,19.4,21.0
221,28.3,44.0,12.0,30.1,25.8,24.3,33.0,10.2,20.2,20.2
222,26.6,44.3,12.6,34.5,27.3,25.4,39.0,15.9,19.4,18.2
